"Health ProtectorGuard - Gen 2 (CA, OR), Gen 3 (PA), Enhanced Gen 3 (all other Gen 3 states)",,,,,,,,
Golden Rule Insurance Company,,,,,,,,
,,,,,,,,
State,Language,Document Type,Plan Type,Application Number,Part Number,Filename,PDF Link,Effective Date
TN,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
TX,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-42,763ITX-G-0625,763ITX-G202506.pdf,763ITX-G202506.pdf,6/20/2025
TX,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-42,764ITX-G-0126,764ITX-G202601.pdf,764ITX-G202601.pdf,1/23/2026
TX,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
TX,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
TX,Spanish,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-42,763ITXSP-G-0625,763ITXSP-G202506.pdf,763ITXSP-G202506.pdf,6/20/2025
TX,Spanish,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-42(SP),764ITXSP-G-0126,764ITXSP-G202601.pdf,764ITXSP-G202601.pdf,1/23/2026
TX,Spanish,Brochure,Enhanced HPG - Gen 3,,52001SP-G-0526,52001SP-G202605.pdf,52001SP-G202605.pdf,5/22/2026
TX,Spanish,Brochure - Guard,Enhanced HPG - Gen 3,,52002SP-G-0526,52002SP-G202605.pdf,52002SP-G202605.pdf,5/22/2026
UT,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-43(R),763IUT-G-0625,763IUT-G202506.pdf,763IUT-G202506.pdf,6/20/2025
UT,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-43(R),764IUT-G-0126,764IUT-G202601.pdf,764IUT-G202601.pdf,1/23/2026
UT,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
UT,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
VA,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-45(R),763IVA-G-0625,763IVA-G202506.pdf,763IVA-G202506.pdf,6/20/2025
